date,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,Market,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,MW1,MW2,MW3,MW4,MW5,MW6,MW7,MW8,MW9,MW10,MW11,MW12,MW13,MW14,MW15,MW16,MW17,MW18,MW19,MW20,MW21,MW22,MW23,MW24,MW25,SENT
194611,-2.9034,0.9332,-2.7398,-1.9421,0.3294,-4.9677,0.0711,-0.3618,-0.7259,1.9035,0.7884,0.5069,1.3842,-0.8088,2.2088,1.7236,0.1587,1.1939,-0.8005,0.8267,-0.2805,-0.1657,0.2732,0.8329,-0.6787,0.124115026,0.002288927,0.0019775,0.003183115,0.003421646,0.003700472,0.004741262,0.007902305,0.008804188,0.007270137,0.006206871,0.010076016,0.012586667,0.011574024,0.014174175,0.012388634,0.031785588,0.029494838,0.023717647,0.021000863,0.019863082,0.239912493,0.108377363,0.136767021,0.176081525,0.102703643,0.000331173,0.000597784,0.001092083,0.001873843,0.002760583,0.00252095,0.004062274,0.004628082,0.004975004,0.004020551,0.008145696,0.009897072,0.010264232,0.009869636,0.00639151,0.029505769,0.028317958,0.02281639,0.0172884,0.010161478,0.362265922,0.198144947,0.147485917,0.082697454,0.029885291,1
194612,1.6661,8.4225,3.4799,3.2597,3.0543,4.2769,6.8617,3.9966,4.7208,3.8611,5.4358,4.432,6.0454,7.0527,3.2729,7.541,5.489,8.1844,2.8945,4.2778,5.2699,6.2326,3.988,4.3882,3.6817,4.922773468,0.002224366,0.00199317,0.003104334,0.003338178,0.003705035,0.004508618,0.007918497,0.008775244,0.007222262,0.006326609,0.01014714,0.012618997,0.011725788,0.013973579,0.012697827,0.032245356,0.029529675,0.024024574,0.020792522,0.019934756,0.238698868,0.108373046,0.137333796,0.177187216,0.101600545,0.000340934,0.00060546,0.001103999,0.001883411,0.002764977,0.002527346,0.004089539,0.004652014,0.00498849,0.004027241,0.008158456,0.009903821,0.010280366,0.00987991,0.006424109,0.029520234,0.028318612,0.022773801,0.017291861,0.010221559,0.361931947,0.197420165,0.147344108,0.083204646,0.030342993,1
194701,5.851,5.7897,3.0198,4.9874,5.1058,6.6935,2.4103,3.0291,1.9104,4.2699,0.9345,2.7087,2.283,0.3423,4.5017,-1.7283,0.655,1.5466,3.2628,1.8699,2.3491,-0.1798,1.2949,-0.5755,1.3068,1.169937157,0.002151613,0.002059619,0.003041087,0.003267265,0.003636609,0.004483114,0.008060347,0.008687705,0.00720642,0.006247609,0.010162154,0.012539359,0.011849499,0.014225922,0.012317283,0.033051758,0.029584684,0.024678904,0.020378997,0.019837969,0.24025978,0.109619387,0.135429763,0.176374285,0.100848868,0.000350375,0.000613906,0.001116074,0.001892839,0.002769264,0.002533904,0.004118434,0.004676478,0.005002408,0.004033293,0.008173003,0.009910754,0.010298484,0.009892238,0.006455813,0.02953951,0.028320041,0.022735927,0.017293178,0.010283647,0.361593271,0.196677606,0.147191455,0.08371594,0.030812157,1
194702,1.0434,-2.0608,-0.9934,0.9334,0.265,-2.6337,-0.0721,1.6053,-1.2493,1.1786,-1.603,-1.4868,-1.393,-0.8262,0.767,-2.0024,-0.9059,-2.1223,-1.8371,0.1525,0.6694,-0.5008,-1.578,-1.6005,-2.5684,-0.87622536,0.002254896,0.002156109,0.003091203,0.003391623,0.003782325,0.004721479,0.008168972,0.008838636,0.007256497,0.006430436,0.010141813,0.012712788,0.011947044,0.014114366,0.01269539,0.03211081,0.029416302,0.024746247,0.020819124,0.019986491,0.243041411,0.107973254,0.135776292,0.173522602,0.100903892,0.000360475,0.000623137,0.001128636,0.001902914,0.002774281,0.002541607,0.004148349,0.004701995,0.005017364,0.004038418,0.008187649,0.009919025,0.010317344,0.009903325,0.006489481,0.02955142,0.028319245,0.022699649,0.017297302,0.01034494,0.361271968,0.19592385,0.147043786,0.08421253,0.03128131,1
194703,-5.2769,-4.5006,-5.0887,-4.6479,-1.7782,-4.5443,-4.3026,-3.5338,-2.5881,-3.1044,-2.2073,-2.7708,-2.7488,-1.2867,-2.4966,-0.5691,-1.3085,-2.7514,-0.7907,-2.7032,-1.7598,-2.1734,-2.0992,0.5374,-1.974,-1.579400119,0.002304832,0.002133733,0.003092708,0.003458423,0.003826099,0.004642589,0.008244477,0.009062535,0.0072563,0.006581705,0.010091282,0.012641296,0.011895949,0.014110234,0.012928812,0.031766695,0.029453631,0.024513727,0.02063765,0.020208238,0.24657269,0.108317287,0.135133689,0.172192089,0.098933329,0.000370628,0.00063214,0.001140895,0.0019132,0.002778868,0.002548759,0.004178139,0.004727955,0.005032153,0.004043095,0.008201442,0.009925762,0.010336053,0.009912557,0.006521606,0.029560111,0.028318585,0.022662396,0.017297715,0.010404621,0.361007171,0.195169129,0.146897708,0.084687868,0.031731445,1
194704,-11.3015,-9.7446,-9.8803,-9.2623,-9.3717,-9.572,-6.3612,-8.1262,-9.4436,-8.8437,-9.2158,-8.5665,-7.6876,-6.5739,-6.5809,-6.6662,-6.5279,-7.3851,-8.6371,-8.1051,-4.7541,-5.3282,-2.4266,-2.8177,-3.821,-4.769989275,0.002216408,0.002069887,0.002980398,0.003337006,0.003816348,0.004512574,0.008006096,0.008875229,0.007164149,0.006457728,0.010017015,0.012467298,0.011779267,0.014125406,0.01279712,0.032134325,0.029466359,0.02414402,0.020825204,0.020049821,0.246592832,0.107654125,0.133766487,0.176101928,0.09864297,0.000379841,0.000640549,0.001152375,0.001922741,0.002783591,0.002555278,0.004205954,0.004752474,0.005046182,0.004046823,0.008214487,0.009932744,0.010354046,0.009922278,0.00655349,0.029572838,0.028317992,0.022630698,0.017300182,0.010460706,0.360752142,0.194412581,0.14674768,0.085170905,0.032171421,1
194705,-6.264,-7.0671,-7.2937,-5.146,-5.6848,-7.0469,-4.317,-4.3335,-3.4123,-1.8655,-4.6266,-3.0326,-4.4682,-2.5306,-3.8122,-3.1145,-3.7627,-1.1783,-4.428,-2.6196,-0.8817,0.0261,-1.2418,1.8908,-2.1441,-1.066974666,0.002068776,0.001965337,0.002819338,0.003180954,0.003634234,0.004273789,0.007869339,0.008544214,0.006808461,0.006188458,0.009553584,0.011952229,0.011389202,0.013848607,0.012529973,0.031518564,0.028945208,0.023491754,0.019935519,0.019327711,0.246666884,0.106779973,0.137275922,0.179798105,0.099633864,0.000387488,0.00064786,0.001162303,0.001930858,0.00278639,0.002560332,0.004232311,0.004774047,0.005057788,0.004047429,0.008225208,0.009936002,0.01036978,0.009928645,0.006581719,0.029582506,0.028313175,0.022597418,0.017297212,0.010508208,0.360521496,0.193677948,0.146626198,0.085649737,0.032597943,1
194706,7.0208,3.1712,7.7685,2.8455,6.2772,4.0156,5.2287,5.4614,6.0428,4.7196,3.6274,5.5348,5.9045,6.0137,5.4891,7.1103,6.3785,5.3924,4.9348,6.0549,6.1042,7.2754,0.7161,6.0312,4.3529,5.224920024,0.001967302,0.001850231,0.002651748,0.003056252,0.003478734,0.004018072,0.007628644,0.008278419,0.006684374,0.005938717,0.009251582,0.011717772,0.011016846,0.013618298,0.012169147,0.030900246,0.028222815,0.0235295,0.019298047,0.019030518,0.247302986,0.10830774,0.13757242,0.184355544,0.09815405,0.000394194,0.000654353,0.001171242,0.001937762,0.002787657,0.002563357,0.004257996,0.004793764,0.005068101,0.004043935,0.008234751,0.009936825,0.010383687,0.009931895,0.006605237,0.029589317,0.028303387,0.022564118,0.017288434,0.010552225,0.360324156,0.192957669,0.146504969,0.08613985,0.033011121,1
194707,10.142,7.9515,7.879,5.1205,8.9459,4.6711,6.7116,5.7306,6.3256,8.1741,6.145,3.952,8.2171,6.9933,7.0175,3.8391,3.9294,8.0016,4.725,9.9425,3.3551,3.7032,2.6115,3.4765,7.2187,4.173422491,0.00088952,0.001972495,0.002492172,0.003797433,0.003765759,0.004590983,0.007631281,0.00579136,0.007002359,0.005240389,0.011058113,0.008302499,0.013625392,0.01159448,0.011394575,0.031528822,0.030201371,0.023730638,0.014216002,0.017974365,0.293391818,0.119224453,0.224790512,0.061896907,0.083896301,0.000397843,0.000661816,0.001180339,0.001950285,0.002793316,0.002571984,0.004279381,0.004795263,0.005083025,0.00404833,0.00823997,0.009929269,0.010410325,0.009936563,0.006625074,0.029591495,0.028285593,0.02255621,0.017243515,0.010603054,0.360203631,0.192429946,0.146871615,0.085905597,0.03340656,1
194708,-2.5353,-3.2124,-3.4518,-1.3691,-2.1822,-2.4196,-1.2085,-1.8729,-0.6677,-1.5816,-0.101,-1.5306,-1.8286,-1.5847,-0.9309,-1.3408,-1.2447,-3.0379,-1.9185,-1.9494,-1.7935,-1.81,-1.4799,-1.0252,-2.9998,-1.751416032,0.000942114,0.002042525,0.002582335,0.003831375,0.00394189,0.004613553,0.007820316,0.0058739,0.007141541,0.005443693,0.011257229,0.008252164,0.014137188,0.011880199,0.011694183,0.031396157,0.030099518,0.02451066,0.014279071,0.018991649,0.291202737,0.118556883,0.221637631,0.061533972,0.086337516,0.000401853,0.000669913,0.001190443,0.001963801,0.002800549,0.002581168,0.004302842,0.004797996,0.005099565,0.00405465,0.008248307,0.009921946,0.010441819,0.009945115,0.006646827,0.029594123,0.028266676,0.02255321,0.017196906,0.010664125,0.360042599,0.191892187,0.147235122,0.085655505,0.033832749,1
194709,1.1231,0.4673,-0.7559,-0.2421,2.8161,-0.8267,1.7944,0.7301,0.7801,3.1907,0.7645,-1.4481,0.7483,1.3235,1.9628,-0.8638,-0.8549,2.464,2.2041,0.8391,-0.6285,-0.8608,-1.4379,-0.4063,-0.6347,-0.536074779,0.000940266,0.002018587,0.002540957,0.003849307,0.003940163,0.004564395,0.007859057,0.005887483,0.007231094,0.005445708,0.011468261,0.008255312,0.014118916,0.011886903,0.011817129,0.031522419,0.030245784,0.024205135,0.014291298,0.018924533,0.291074655,0.118283977,0.222843055,0.061950101,0.084835505,0.000405684,0.00067753,0.001200114,0.001977275,0.002807617,0.00258976,0.004326614,0.004801385,0.005116612,0.004060144,0.00825796,0.009914972,0.010472399,0.009955225,0.006670869,0.029593856,0.028246313,0.02254888,0.017154876,0.010725961,0.359861678,0.191371645,0.147603922,0.085417318,0.034241392,1
194710,2.4223,5.6287,7.8453,4.2028,2.3656,3.1029,3.1775,2.7969,4.325,3.0504,5.6138,3.1901,3.6163,4.4368,0.7962,3.1888,2.6428,4.1214,1.5608,-0.1423,1.7215,4.2021,2.3639,2.5316,3.5363,2.648925015,0.000954961,0.002027501,0.002538145,0.003852441,0.004072903,0.004561124,0.008024835,0.005692455,0.007303527,0.005647232,0.011583137,0.008206104,0.014298029,0.012102072,0.012095666,0.031434561,0.030107829,0.024915277,0.014604416,0.019220938,0.291124123,0.118008677,0.220394666,0.062113896,0.085115484,0.000409668,0.000685404,0.001209853,0.001990937,0.002815798,0.002598316,0.004350783,0.00480375,0.005134601,0.004067651,0.008268462,0.0099097,0.01050497,0.009967702,0.006694281,0.029593168,0.028226121,0.022548578,0.017114597,0.010787749,0.35968104,0.190861132,0.147943481,0.085181524,0.034650731,1
194711,-4.83,-6.0117,-3.8039,-2.1111,-1.825,-5.2003,-3.4208,-2.6813,-4.0004,-2.9477,-2.6824,-3.7735,-2.8905,-2.9825,-1.9869,-2.9214,-2.5612,-1.9688,-1.9137,-3.9963,-1.7821,-1.7354,-1.4306,-2.3034,-1.5263,-1.952800335,0.000954665,0.002087985,0.002663284,0.00389604,0.004063851,0.004578128,0.008051609,0.005696008,0.007410876,0.005668438,0.011892692,0.008215927,0.014402686,0.012292277,0.011867328,0.031565702,0.030092349,0.025265722,0.014464075,0.01871908,0.288601072,0.119820198,0.219977312,0.061929342,0.085823354,0.000413743,0.000693944,0.001220359,0.00200488,0.002824589,0.002606428,0.0043749,0.004805396,0.00515319,0.00407548,0.008280109,0.009902971,0.010537746,0.009981588,0.006719306,0.029587748,0.028203733,0.022549305,0.017074407,0.010849044,0.35949124,0.190337501,0.148290301,0.084953931,0.035068163,1
194712,-3.561,3.743,-1.8311,-0.0151,4.7375,-1.2838,1.3729,1.3896,-0.625,6.588,1.4927,4.0633,0.253,2.3688,2.8857,4.5943,2.919,1.0417,0.53,3.4656,1.5815,3.5342,3.6172,4.6059,7.4174,3.111291311,0.00093501,0.002009269,0.002610914,0.003903695,0.004068675,0.004427202,0.007962153,0.005636169,0.00727272,0.005630493,0.011848253,0.008050319,0.014288133,0.012170644,0.011926202,0.031340052,0.029942645,0.025274028,0.014514034,0.018282643,0.289581979,0.120087106,0.22088334,0.061653901,0.08570042,0.000417628,0.000701592,0.001230049,0.002018475,0.002832727,0.002611937,0.004396534,0.004805919,0.005170477,0.004082305,0.008290221,0.009895216,0.01056917,0.009994103,0.006742233,0.029578427,0.028175924,0.02254766,0.017032776,0.010906404,0.359340983,0.189825839,0.148628735,0.084724479,0.035480186,1
194801,2.3466,-1.2571,-2.4955,-1.2614,1.3163,-3.347,-1.89,-3.2946,-1.2551,-0.1717,-3.9663,-3.8274,-2.2618,-3.9469,-0.2274,-3.2448,-3.8591,-3.4446,0.5547,0.1957,-4.9656,-4.4153,-4.3727,-3.4232,-4.2891,-4.033672279,0.000871447,0.002005917,0.002476919,0.003776333,0.004114346,0.004245303,0.00775769,0.005519042,0.006996697,0.005807185,0.011638012,0.008154809,0.013823464,0.011982306,0.011768785,0.031783255,0.029801165,0.024718216,0.014080207,0.018257723,0.285930709,0.120281685,0.221964125,0.062526979,0.089717681,0.000421246,0.000709265,0.001239056,0.002031432,0.002840776,0.00261782,0.004417142,0.004805773,0.005186216,0.004090791,0.008298485,0.009887217,0.010597502,0.010005359,0.006761419,0.029574825,0.028142332,0.022540815,0.016988569,0.010965897,0.359156163,0.189315585,0.148988639,0.084495789,0.035921888,1
194802,-8.8191,-6.9937,-7.9465,-7.0036,-6.5626,-7.2018,-6.0842,-7.1324,-5.6125,-7.2402,-4.9966,-7.7489,-6.3822,-6.8187,-5.0734,-5.4345,-5.5584,-2.9733,-6.793,-6.7265,-4.6661,-4.8493,-2.8599,-4.2007,-3.8817,-4.444648387,0.000930577,0.002061526,0.002514291,0.003884724,0.004344618,0.004277955,0.007930132,0.00555456,0.007190294,0.006045858,0.011640108,0.008140138,0.014064616,0.011981126,0.012236602,0.031987561,0.029815445,0.024879343,0.014763223,0.01903405,0.283302218,0.119729767,0.221425227,0.062886175,0.089379866,0.000425144,0.000716607,0.001247726,0.002044397,0.002848614,0.002623205,0.0044371,0.004805541,0.005201684,0.004099684,0.008303571,0.009878429,0.010624707,0.010015176,0.006784149,0.029569191,0.028106396,0.022533737,0.016946985,0.011027505,0.358983042,0.188821299,0.14932711,0.084282035,0.036346968,1
194803,14.3294,8.0151,9.9896,9.8649,10.8661,5.2871,6.5076,8.771,10.0442,12.9469,6.641,6.8934,11.1887,11.1769,11.6389,8.9368,8.143,8.2293,10.7196,13.1324,7.2112,10.4985,6.129,8.57,10.4521,8.237886039,0.00089407,0.002011151,0.00242068,0.003792399,0.004248354,0.004148405,0.007799699,0.005419161,0.007112015,0.005881401,0.011580339,0.007845923,0.013786118,0.011711307,0.012180035,0.031675634,0.029484249,0.025283741,0.014451096,0.01858389,0.282423227,0.118906282,0.225701055,0.063005804,0.089653964,0.000428644,0.000723363,0.001255185,0.002055931,0.00285587,0.002628039,0.004455306,0.004804624,0.005216098,0.00410782,0.008309725,0.009868662,0.010649622,0.0100233,0.006806723,0.029565948,0.028077129,0.022529814,0.016906437,0.011085758,0.358808206,0.188338651,0.149663365,0.084081289,0.036754491,1
194804,-0.4683,5.6084,1.4723,5.0655,5.4709,4.4025,1.4582,0.689,5.2261,5.3097,2.3656,2.3477,2.3311,2.7737,3.7553,5.0359,3.6319,6.8929,1.4295,7.0153,1.8996,2.8476,4.7424,3.8322,7.7128,3.792051148,0.000945723,0.00200585,0.002461212,0.003838211,0.004367334,0.004041054,0.007665885,0.005436117,0.007233103,0.00611916,0.011386304,0.007775962,0.014150087,0.012014779,0.01252659,0.031928015,0.029368581,0.02524511,0.014745444,0.019473493,0.280185833,0.12156223,0.22073571,0.06325992,0.091528294,0.000432489,0.000730863,0.001263747,0.002069358,0.002864371,0.002633206,0.00447367,0.004804327,0.005232604,0.004117068,0.008316513,0.009857063,0.010678446,0.010036409,0.006832025,0.029554894,0.028045124,0.022529636,0.016865915,0.011154153,0.358539338,0.187872324,0.150012946,0.083881045,0.037202467,1
194805,13.0927,11.2982,13.403,5.8938,8.1559,8.2609,9.1004,10.186,8.2201,7.6216,8.6729,8.2576,10.1189,10.4246,6.9286,5.3663,7.8921,8.2994,6.8865,8.5379,8.5967,9.3287,5.0249,5.9627,7.5805,7.49906095,0.000907251,0.002036686,0.002406993,0.003890398,0.004442772,0.004058851,0.007494353,0.005265978,0.00730448,0.006213528,0.011222469,0.007642112,0.013948217,0.011893015,0.012522536,0.032272223,0.029336999,0.025995526,0.014384598,0.020099482,0.275315904,0.120455847,0.22265231,0.063235304,0.095002167,0.000436408,0.000738454,0.001271747,0.002083631,0.002872145,0.002639184,0.004487868,0.004803129,0.005250089,0.00412591,0.008320761,0.009844189,0.010705825,0.010049187,0.006857124,0.029544071,0.028016323,0.022536086,0.016821393,0.011228848,0.358269171,0.187361918,0.150368516,0.083680564,0.037687457,1
194806,-4.7173,0.9136,-2.2861,-0.3448,0.4582,-4.2688,-1.8451,-2.1092,-1.7574,3.9277,-1.3581,-1.2668,-4.2496,-2.3427,-0.1515,-1.3008,-0.4087,-1.9894,-3.1247,-0.5331,-0.5412,-0.8777,1.3039,0.0549,2.7845,-0.022863829,0.000957274,0.002114079,0.002545039,0.003827738,0.0044886,0.004076134,0.007610684,0.005405662,0.007356859,0.006235345,0.011358338,0.007677533,0.014259003,0.012223991,0.012454741,0.031647047,0.029452715,0.02621322,0.014300063,0.020284976,0.27806516,0.122495936,0.217982565,0.062314764,0.094652534,0.000440706,0.000747258,0.001280994,0.002097485,0.002880255,0.002645701,0.00450341,0.004801926,0.005267959,0.004135262,0.008326214,0.009828318,0.010736691,0.010066043,0.006885817,0.029523636,0.027991534,0.022545631,0.016775365,0.011308281,0.357980084,0.186830134,0.150737906,0.083467173,0.038196217,1
194807,-7.3528,-5.2309,-7.9212,-5.9301,-4.6389,-5.8991,-3.984,-4.6305,-4.8442,-3.745,-4.2897,-4.9907,-5.4258,-6.3967,-6.3449,-5.9823,-4.7723,-5.0418,-5.4896,-2.7189,-5.2298,-6.3511,-3.8068,-4.817,-5.4209,-5.115491045,0.000923487,0.001836024,0.002199546,0.003821041,0.004048346,0.005211416,0.005940616,0.006840709,0.00707996,0.005141731,0.009964904,0.012225009,0.015059349,0.010137622,0.012196803,0.029997579,0.028484095,0.024668363,0.019159626,0.021314209,0.309129037,0.16021362,0.171334625,0.062628574,0.070443707,0.000444711,0.000756207,0.001288889,0.002109606,0.002887358,0.002661643,0.004511155,0.004815461,0.005283537,0.004141082,0.008329779,0.009838963,0.010766928,0.010061083,0.006916303,0.029529943,0.027956275,0.022522901,0.016759374,0.011393385,0.35784421,0.186720534,0.150554128,0.083382295,0.038524251,1
